mth,net_bal_amt
1985-05,24485800000
1985-06,24876500000
1985-07,25168800000
1985-08,25515000000
1985-09,25847000000
1985-10,26068400000
1985-11,26366700000
1985-12,26829500000
1986-01,27233600000
1986-02,27612000000
1986-03,27959400000
1986-04,28254200000
1986-05,28414400000
1986-06,28576900000
1986-07,28729800000
1986-08,28847300000
1986-09,28976800000
1986-10,29066200000
1986-11,29141200000
1986-12,29341400000
1987-01,29614700000
1987-02,29803200000
1987-03,29932500000
1987-04,30020000000
1987-05,30149200000
1987-06,30241100000
1987-07,30203500000
1987-08,30293100000
1987-09,30317200000
1987-10,30383600000
1987-11,30387400000
1987-12,30607800000
1988-01,30905300000
1988-02,31122000000
1988-03,31317700000
1988-04,31384500000
1988-05,31520400000
1988-06,31649800000
1988-07,31750600000
1988-08,31876200000
1988-09,31954600000
1988-10,32088700000
1988-11,32247000000
1988-12,32529300000
1989-01,32928200000
1989-02,33225100000
1989-03,33436100000
1989-04,33616500000
1989-05,33787000000
1989-06,33998400000
1989-07,34278100000
1989-08,34580400000
1989-09,34910100000
1989-10,35163200000
1989-11,35465600000
1989-12,36051500000
1990-01,36603500000
1990-02,37079800000
1990-03,37440700000
1990-04,37725400000
1990-05,38000200000
1990-06,38305100000
1990-07,38689700000
1990-08,39068700000
1990-09,39408800000
1990-10,39719100000
1990-11,40079400000
1990-12,40646400000
1991-01,41315200000
1991-02,41870000000
1991-03,42328400000
1991-04,42697100000
1991-05,43043600000
1991-06,43411300000
1991-07,43798600000
1991-08,44194200000
1991-09,44564700000
1991-10,44894700000
1991-11,45379000000
1991-12,46049000000
1992-01,46846600000
1992-02,47523000000
1992-03,47898000000
1992-04,48305300000
1992-05,48709200000
1992-06,49108700000
1992-07,49454500000
1992-08,49820900000
1992-09,50149200000
1992-10,50504000000
1992-11,50886200000
1992-12,51526900000
1993-01,52360500000
1993-02,52952600000
1993-03,53315000000
1993-04,53669300000
1993-05,53960700000
1993-06,54234500000
1993-07,54619800000
1993-08,55048100000
1993-09,55598500000
1993-10,52034300000
1993-11,52205700000
1993-12,52334300000
1994-01,52864000000
1994-02,53509900000
1994-03,53932900000
1994-04,54265000000
1994-05,54560100000
1994-06,54936500000
1994-07,55465200000
1994-08,55904100000
1994-09,56336600000
1994-10,56668200000
1994-11,56961400000
1994-12,57649200000
1995-01,58592200000
1995-02,59326300000
1995-03,59789400000
1995-04,60197700000
1995-05,60577800000
1995-06,61758700000
1995-07,62333600000
1995-08,62796200000
1995-09,63957000000
1995-10,64685800000
1995-11,64961000000
1995-12,66035400000
1996-01,66928000000
1996-02,67547200000
1996-03,68793400000
1996-04,69186900000
1996-05,69506700000
1996-06,70205300000
1996-07,70560800000
1996-08,70186000000
1996-09,70195700000
1996-10,70872300000
1996-11,71306800000
1996-12,72566600000
1997-01,73622500000
1997-02,74364500000
1997-03,75567800000
1997-04,75690600000
1997-05,75955400000
1997-06,76457000000
1997-07,76894400000
1997-08,77235500000
1997-09,77772500000
1997-10,78270800000
1997-11,78678200000
1997-12,79657400000
1998-01,80627600000
1998-02,81119000000
1998-03,81778100000
1998-04,81832800000
1998-05,82026500000
1998-06,82354400000
1998-07,82511600000
1998-08,82777300000
1998-09,83177000000
1998-10,83449600000
1998-11,83890300000
1998-12,85276800000
1999-01,86114400000
1999-02,86543400000
1999-03,87397100000
1999-04,87378000000
1999-05,87245300000
1999-06,88106600000
1999-07,87430500000
1999-08,87393300000
1999-09,88561700000
1999-10,88158000000
1999-11,87634900000
1999-12,88396900000
2000-01,88791500000
2000-02,88776800000
2000-03,89419200000
2000-04,89217300000
2000-05,89102300000
2000-06,88992500000
2000-07,89047000000
2000-08,89257200000
2000-09,89507200000
2000-10,89689100000
2000-11,89759300000
2000-12,90298300000
2001-01,92065500000
2001-02,91414800000
2001-03,90386800000
2001-04,90114900000
2001-05,89853300000
2001-06,89819600000
2001-07,89933600000
2001-08,90376900000
2001-09,90578300000
2001-10,90694200000
2001-11,90893300000
2001-12,92221200000
2002-01,92889300000
2002-02,93262600000
2002-03,93689000000
2002-04,94014700000
2002-05,94262800000
2002-06,94523600000
2002-07,94683800000
2002-08,94988200000
2002-09,95376600000
2002-10,95385200000
2002-11,95753900000
2002-12,96422600000
2003-01,97423500000
2003-02,98157200000
2003-03,98637900000
2003-04,99319400000
2003-05,99777000000
2003-06,1.00E+11
2003-07,1.01E+11
2003-08,1.01E+11
2003-09,1.02E+11
2003-10,1.02E+11
2003-11,1.03E+11
2003-12,1.04E+11
2004-01,1.05E+11
2004-02,1.05E+11
2004-03,1.06E+11
2004-04,1.07E+11
2004-05,1.07E+11
2004-06,1.08E+11
2004-07,1.08E+11
2004-08,1.09E+11
