quarter,level_1,level_2,level_3,value
1997-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,16
1997-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,15
1997-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,7
1997-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,26
1997-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,62
1997-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,67
1997-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,14
1997-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,-32
1997-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
1997-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,-1
1997-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,-1
1997-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-19
1997-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-38
1997-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,2
1997-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,37
1997-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-21
1997-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-54
1997-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
1997-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,-28
1997-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,-17
1998-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-36
1998-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-44
1998-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,-52
1998-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,5
1998-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-30
1998-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,-38
1998-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
1998-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,-16
1998-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,-14
1998-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-38
1998-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-49
1998-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,-41
1998-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,6
1998-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-35
